subject_id,syn_id
S002042,syn650824500
S000313,syn222771160
S003577,syn677200747
S002650,syn168653082
S000529,syn131769661
S001226,syn422815685
S003682,syn91116210
S001763,syn818642383
S000094,syn872991094
S002320,syn825066229
S003618,syn810842422
S001754,syn438180269
S001541,syn675419655
S001984,syn52339561
S001465,syn283773600
S000730,syn315148170
S000576,syn212948477
S002891,syn675419655
S000733,syn783386267
S002748,syn510174578
S002405,syn222920566
S000355,syn117581361
S000745,syn725814965
S000653,syn17981540
S001143,syn55588410
S000779,syn320565693
S000611,syn525749553
S001739,syn763350687
S000293,syn248518088
S000477,syn864032811
S000620,syn376407722
S000100,syn320565693
S002042,syn868811069
S001537,syn904837963
S003038,syn223005448
S001241,syn567328493
S000626,syn111589964
S000505,syn180695657
S002337,syn54960973
S003592,syn759827066
S001928,syn620177642
S001039,syn248518088
S002504,syn198279311
S003135,syn283773600
S001436,syn731081146
S000046,syn362679751
S000286,syn818642383
S003544,syn107838062
S002932,syn230158287
S002096,syn881389892
S002913,syn214755474
S003170,syn182860153
S003177,syn898314831
S000371,syn275129474
S001121,syn725814965
S003590,syn731081146
S003351,syn174839683
S001690,syn810842422
S001506,syn822285301
S003990,syn504477061
S003031,syn972050876
S003317,syn682650612
S003828,syn168653082
S001906,syn61392471
S003920,syn111589964
S002851,syn198279311
S000553,syn101811280
S000902,syn525749553
S002519,syn574810382
S003762,syn101811280
S000473,syn810842422
S002078,syn230158287
S001711,syn661875998
S001361,syn111589964
S002983,syn214755474
S002933,syn422683476
S003430,syn232108991
S000990,syn422683476
S000360,syn761759899
S001808,syn376407722
S000490,syn61392471
S003428,syn679342265
S001658,syn102730231
S001701,syn872991094
S001863,syn14886675
S000951,syn763350687
S002716,syn17981540
S002055,syn818642383
S000652,syn799111714
S001480,syn298940330
S001524,syn677200747
S001252,syn658839463
S001959,syn761759899
S002772,syn422683476
S002052,syn210513556
S000909,syn784452917
S000643,syn710946306
S001644,syn174839683
S000107,syn54960973
S000977,syn653567459
S001396,syn362679751
S001834,syn572055387
S002360,syn966519586
S003559,syn862438378
S002348,syn871132644
S001678,syn669307825
S003619,syn641368970
S001419,syn592986638
S001453,syn825066229
S003989,syn214755474
S000899,syn641368970
S003782,syn223005448
S003965,syn476938121
S002640,syn465896766
S001378,syn872991094
S000257,syn298940330
S002002,syn389765614
S000635,syn675419655
S003435,syn362278745
S002863,syn617179034
S001968,syn510174578
S001121,syn107838062
S001760,syn966519586
S002276,syn111589964
S000453,syn356383124
S002603,syn761759899
S000197,syn233360464
S002671,syn763350687
S003102,syn232108991
S003276,syn773862134
S000247,syn9554316
S003521,syn306318497
S003194,syn362278745
S000948,syn722358396
S000053,syn403730954
S001615,syn80706835
S002676,syn871132644
S003709,syn745747195
S003556,syn315148170
S002885,syn650824500
S001353,syn524418968
S001884,syn682650612
S002381,syn462639179
S003631,syn735454461
S001848,syn182860153
S000541,syn362679751
S000002,syn653567459
S003930,syn485741520
S000152,syn972050876
S002189,syn650824500
S003157,syn210520442
S003309,syn298940330
S000563,syn961815312
S003623,syn376407722
S003563,syn822285301
S002758,syn200749160
S003249,syn226786922
S000887,syn163051236
S002708,syn521353155
S001694,syn759126195
S000194,syn761759899
S002508,syn376407722
S002316,syn61392471
S003994,syn547832168
S003106,syn499516933
S000832,syn573187194
S003254,syn941081585
S001282,syn572055387
S003947,syn853127774
S001445,syn653567459
S000552,syn676935649
S003323,syn180695657
S000798,syn494900912
S000309,syn368844399
S001766,syn362679751
S000929,syn517340829
S001317,syn115090374
S001471,syn143639655
S003159,syn13794452
S003897,syn117581361
S002499,syn708798452
S002939,syn510174578
S002018,syn107838062
S000141,syn679342265
S000732,syn705364323
S000699,syn499516933
S001198,syn200749160
S003426,syn763350687
S001825,syn222771160
S002042,syn653567459
S002894,syn102730231
S000813,syn713095616
S002798,syn362278745
S000175,syn200749160
S003903,syn8288142
S002246,syn210513556
