syn_id,specimen_type,organ,tissue,nucleic_acid_source,cell_type,is_post_mortem,data_type,file_format,assay_type,is_multi_specimen
syn762098171,specimen_type_B,organ_A,tissue_B,nucleic_acid_source_D,cell_type_B,false,data_type_B,file_format_A,assay_type_D,false
syn62119471,specimen_type_D,organ_B,tissue_C,nucleic_acid_source_B,cell_type_C,true,data_type_C,file_format_D,assay_type_C,false
syn274660995,specimen_type_A,organ_B,tissue_B,nucleic_acid_source_C,cell_type_C,false,data_type_C,file_format_C,assay_type_B,false
syn880261732,specimen_type_B,organ_A,tissue_D,nucleic_acid_source_C,cell_type_A,false,data_type_C,file_format_A,assay_type_C,false
syn453064234,specimen_type_B,organ_C,tissue_C,nucleic_acid_source_C,cell_type_C,false,data_type_B,file_format_D,assay_type_B,false
syn229316762,specimen_type_C,organ_C,tissue_B,nucleic_acid_source_A,cell_type_A,true,data_type_B,file_format_D,assay_type_B,false
syn426187220,specimen_type_B,organ_A,tissue_B,nucleic_acid_source_D,cell_type_D,true,data_type_A,file_format_D,assay_type_C,false
syn867062886,specimen_type_D,organ_A,tissue_B,nucleic_acid_source_C,cell_type_D,true,data_type_B,file_format_B,assay_type_A,false
syn198397424,specimen_type_B,organ_A,tissue_A,nucleic_acid_source_A,cell_type_B,true,data_type_C,file_format_A,assay_type_A,false
syn760366319,specimen_type_C,organ_A,tissue_C,nucleic_acid_source_D,cell_type_C,false,data_type_C,file_format_D,assay_type_A,false
syn610112696,specimen_type_D,organ_C,tissue_D,nucleic_acid_source_B,cell_type_D,false,data_type_D,file_format_D,assay_type_D,false
syn379422228,specimen_type_D,organ_C,tissue_B,nucleic_acid_source_B,cell_type_C,true,data_type_A,file_format_B,assay_type_A,false
syn48637510,specimen_type_B,organ_A,tissue_A,nucleic_acid_source_D,cell_type_B,true,data_type_D,file_format_C,assay_type_C,false
syn879159542,specimen_type_B,organ_B,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_B,assay_type_C,false
syn238977506,specimen_type_D,organ_C,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_D,file_format_C,assay_type_A,true
syn904275704,specimen_type_B,organ_A,tissue_B,nucleic_acid_source_B,cell_type_B,true,data_type_B,file_format_B,assay_type_B,false
syn484411796,specimen_type_B,organ_C,tissue_C,nucleic_acid_source_B,cell_type_B,false,data_type_C,file_format_A,assay_type_C,false
syn875422781,specimen_type_B,organ_D,tissue_C,nucleic_acid_source_B,cell_type_B,false,data_type_B,file_format_C,assay_type_C,false
syn626346633,specimen_type_C,organ_B,tissue_A,nucleic_acid_source_B,cell_type_A,false,data_type_A,file_format_C,assay_type_D,false
syn236267250,specimen_type_D,organ_C,tissue_A,nucleic_acid_source_A,cell_type_B,true,data_type_C,file_format_B,assay_type_D,true
syn527741361,specimen_type_A,organ_D,tissue_B,nucleic_acid_source_C,cell_type_D,false,data_type_B,file_format_D,assay_type_D,false
syn986457713,specimen_type_D,organ_D,tissue_B,nucleic_acid_source_D,cell_type_D,true,data_type_D,file_format_A,assay_type_D,false
syn967068868,specimen_type_C,organ_D,tissue_D,nucleic_acid_source_A,cell_type_B,false,data_type_B,file_format_B,assay_type_B,false
syn258140562,specimen_type_B,organ_B,tissue_A,nucleic_acid_source_A,cell_type_D,true,data_type_C,file_format_A,assay_type_A,true
syn927718245,specimen_type_C,organ_D,tissue_C,nucleic_acid_source_B,cell_type_D,true,data_type_C,file_format_D,assay_type_B,false
syn424237153,specimen_type_B,organ_C,tissue_D,nucleic_acid_source_D,cell_type_D,false,data_type_A,file_format_A,assay_type_A,false
syn716488109,specimen_type_A,organ_C,tissue_D,nucleic_acid_source_B,cell_type_B,true,data_type_D,file_format_C,assay_type_B,false
syn650265398,specimen_type_D,organ_B,tissue_C,nucleic_acid_source_A,cell_type_C,false,data_type_D,file_format_D,assay_type_D,false
syn509803234,specimen_type_B,organ_A,tissue_C,nucleic_acid_source_C,cell_type_B,false,data_type_A,file_format_C,assay_type_A,false
syn795726853,specimen_type_C,organ_D,tissue_B,nucleic_acid_source_D,cell_type_D,false,data_type_A,file_format_D,assay_type_A,false
