subject_id,syn_id
S003744,syn558515636
S003143,syn491006550
S001548,syn53573673
S000126,syn509803234
S002337,syn274660995
S002420,syn809951133
S002991,syn598537434
S002306,syn880460297
S003436,syn543336649
S000262,syn426187220
S003429,syn86883121
S003387,syn373249433
S000347,syn198397424
S000295,syn880261732
S000449,syn81483893
S002982,syn126064976
S001649,syn716488109
S003415,syn146998490
S003059,syn373249433
S003951,syn380413783
S001099,syn6008480
S001369,syn282426039
S001899,syn60377238
S001866,syn562189408
S001966,syn105513356
S003949,syn663081986
S002054,syn810603261
S001720,syn840646841
S003212,syn156525356
S003286,syn714325209
S001333,syn60377238
S003157,syn454807903
S003673,syn870132064
S000429,syn538258190
S003773,syn294811945
S000786,syn491019087
S000889,syn880460297
S000650,syn973852119
S001538,syn21576382
S003808,syn924832520
S002889,syn523580792
S001104,syn974094504
S000539,syn282426039
S002940,syn484411796
S002977,syn744765711
S002706,syn598537434
S002064,syn943463387
S002185,syn618920533
S003136,syn610112696
S001744,syn713605172
S001730,syn48637510
S001838,syn86883121
S002284,syn967068868
S000743,syn973852119
S001826,syn60377238
S000026,syn132499966
S002133,syn714325209
S003673,syn819089182
S001545,syn621444822
S000061,syn562189408
S003435,syn509803234
S002451,syn809951133
S002894,syn80654178
S001260,syn827676232
S000227,syn870132064
S003576,syn17230918
S001797,syn618920533
S002606,syn264147052
S001514,syn526893539
S001486,syn527741361
S003625,syn523580792
S002742,syn880460297
S002529,syn945733276
S000498,syn543336649
S002130,syn986457713
S000967,syn713605172
S002272,syn986457713
S003681,syn672487720
S003095,syn867062886
S003994,syn535208374
S001422,syn798682037
S000533,syn282426039
S003368,syn588141090
S000242,syn996671063
S001902,syn412533970
S001459,syn996671063
S001544,syn352051342
S001192,syn967068868
S001468,syn156525356
S000103,syn618784131
S002305,syn304426791
S001288,syn208198434
S000648,syn867062886
S003190,syn352051342
S001521,syn571727148
S003727,syn809951133
S000465,syn713605172
S002302,syn943463387
S000214,syn129359745
S003024,syn819089182
S003295,syn888695429
S001683,syn544853114
S003263,syn927718245
S002540,syn710420942
S002580,syn126064976
S002107,syn486054177
S003915,syn880710709
S002866,syn834893372
S000054,syn281963934
S003225,syn562189408
S001392,syn973852119
S001581,syn482066133
S003719,syn782901023
S002339,syn827676232
S000359,syn671278772
S000476,syn46084590
S003778,syn860160242
S001747,syn943463387
S002323,syn716488109
S002147,syn875422781
S002329,syn217496367
S003101,syn146998490
S002519,syn317014174
S002712,syn392346814
S001669,syn744765711
S001543,syn46084590
