syn_id,file_name,data_type,assay_type,file_format,is_multi_specimen,file_size_bytes,study_code
syn43811107,cohort_methylation_array_000000.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,927929399,ILO
syn351076181,cohort_wes_000001.bam,variant calls,WES,BAM,true,4188391136,ILO
syn401045097,cohort_methylation_array_000002.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,668887022,HSDOA
syn915766823,cohort_metabolomics_000003.mzML,metabolite levels,metabolomics,mzML,true,1041227655,LLFS
syn16550597,cohort_methylation_array_000004.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,567003527,LG
syn477371288,cohort_rnaseq_000005.counts.csv,gene expression,RNAseq,processed counts (CSV),true,3008793849,ASDOEL
syn626423966,cohort_wes_000006.vcf.gz,variant calls,WES,VCF,true,14302875836,CDCP
syn445960080,cohort_proteomics_000007.mzML,protein abundance,proteomics,mzML,true,2245154087,CDCP
syn315505480,cohort_metabolomics_000008.mzML,metabolite levels,metabolomics,mzML,true,1989206102,LG
syn874505181,cohort_wes_000009.fastq.gz,variant calls,WES,FASTQ,true,15065230038,CDCP
syn205409802,cohort_rnaseq_000010.fastq.gz,gene expression,RNAseq,FASTQ,true,4267908861,ILO
syn475052287,cohort_wes_000011.bam,variant calls,WES,BAM,true,9917704442,LG
syn181195114,cohort_metabolomics_000012.mzML,metabolite levels,metabolomics,mzML,true,653986554,LLFS
syn659977824,cohort_methylation_array_000013.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,364019882,ASDOEL
syn526147858,cohort_proteomics_000014.mzML,protein abundance,proteomics,mzML,true,549014303,LLFS
syn332608564,cohort_metabolomics_000015.mzML,metabolite levels,metabolomics,mzML,true,764603140,HSDOA
syn573287115,cohort_metabolomics_000016.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,877635396,HSDOA
syn254296469,cohort_wgs_000017.fastq.gz,variant calls,WGS,FASTQ,true,51841100222,LG
syn57613963,cohort_wgs_000018.fastq.gz,variant calls,WGS,FASTQ,true,138437393432,LG
syn866709354,cohort_wgs_000019.cram,variant calls,WGS,CRAM,true,147178770537,ASDOEL
syn911327737,cohort_proteomics_000020.counts.csv,protein abundance,proteomics,processed counts (CSV),true,4713871933,LLFS
syn506287119,cohort_scrnaseq_000021.fastq.gz,gene expression,scRNAseq,FASTQ,true,3465040101,HSDOA
syn427995473,cohort_proteomics_000022.counts.csv,protein abundance,proteomics,processed counts (CSV),true,1777764195,LC
syn776585468,cohort_rnaseq_000023.bam,gene expression,RNAseq,BAM,true,2027814189,HSDOA
syn11842195,cohort_methylation_array_000024.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,266088713,LC
syn999564727,cohort_wgs_000025.fastq.gz,variant calls,WGS,FASTQ,true,24757185624,LG
syn305526570,cohort_wgs_000026.fastq.gz,variant calls,WGS,FASTQ,true,43686797562,HSDOA
syn212452083,cohort_rnaseq_000027.counts.csv,gene expression,RNAseq,processed counts (CSV),true,3375347115,CDCP
syn279562314,cohort_rnaseq_000028.fastq.gz,gene expression,RNAseq,FASTQ,true,564177218,HSDOA
syn722981488,cohort_methylation_array_000029.idat,DNA methylation,methylation array,IDAT,true,132937533,LC
syn57294334,cohort_methylation_array_000030.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,786489936,LC
syn534311544,cohort_wes_000031.bam,variant calls,WES,BAM,true,4512601461,HSDOA
syn82292816,cohort_wes_000032.vcf.gz,variant calls,WES,VCF,true,4671403457,ASDOEL
syn85629036,cohort_wgs_000033.fastq.gz,variant calls,WGS,FASTQ,true,124625463374,LLFS
syn445882492,cohort_wgs_000034.fastq.gz,variant calls,WGS,FASTQ,true,63575916528,CDCP
syn987588633,cohort_metabolomics_000035.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1952528581,LLFS
syn132131167,cohort_wgs_000036.cram,variant calls,WGS,CRAM,true,141148416043,ILO
syn874688925,cohort_metabolomics_000037.mzML,metabolite levels,metabolomics,mzML,true,1259646644,ILO
syn40157016,cohort_rnaseq_000038.counts.csv,gene expression,RNAseq,processed counts (CSV),true,3953570962,ILO
syn778193854,cohort_scrnaseq_000039.fastq.gz,gene expression,scRNAseq,FASTQ,true,1505368007,LC
syn26269169,cohort_wgs_000040.fastq.gz,variant calls,WGS,FASTQ,true,18914689937,LLFS
syn101099487,cohort_methylation_array_000041.idat,DNA methylation,methylation array,IDAT,true,841791696,ASDOEL
syn74258934,cohort_wgs_000042.cram,variant calls,WGS,CRAM,true,67241850589,CDCP
syn605551713,cohort_wes_000043.bam,variant calls,WES,BAM,true,4575953260,LG
syn926443415,cohort_wgs_000044.fastq.gz,variant calls,WGS,FASTQ,true,130909276713,HSDOA
syn10862201,cohort_wes_000045.fastq.gz,variant calls,WES,FASTQ,true,18112403415,ASDOEL
syn211038597,cohort_wes_000046.vcf.gz,variant calls,WES,VCF,true,4130794456,LLFS
syn624679917,cohort_methylation_array_000047.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,582113963,CDCP
syn550897728,cohort_rnaseq_000048.fastq.gz,gene expression,RNAseq,FASTQ,true,1442420918,LLFS
syn984659662,cohort_rnaseq_000049.fastq.gz,gene expression,RNAseq,FASTQ,true,6314957611,LG
syn489175743,cohort_wes_000050.bam,variant calls,WES,BAM,true,14183138122,LG
syn32532520,cohort_metabolomics_000051.mzML,metabolite levels,metabolomics,mzML,true,1200164812,LLFS
syn432899242,cohort_rnaseq_000052.bam,gene expression,RNAseq,BAM,true,1920786836,CDCP
syn440651705,cohort_scrnaseq_000053.fastq.gz,gene expression,scRNAseq,FASTQ,true,3853306957,ILO
syn31349065,cohort_methylation_array_000054.idat,DNA methylation,methylation array,IDAT,true,119145083,LG
syn665279301,cohort_rnaseq_000055.bam,gene expression,RNAseq,BAM,true,5861073367,ILO
syn431984045,cohort_wgs_000056.fastq.gz,variant calls,WGS,FASTQ,true,34202697004,LLFS
syn685088153,cohort_wgs_000057.fastq.gz,variant calls,WGS,FASTQ,true,90446031099,HSDOA
syn138949193,cohort_wgs_000058.cram,variant calls,WGS,CRAM,true,80283020350,CDCP
syn596081430,cohort_proteomics_000059.counts.csv,protein abundance,proteomics,processed counts (CSV),true,4999575330,CDCP
syn562595204,cohort_scrnaseq_000060.fastq.gz,gene expression,scRNAseq,FASTQ,true,2250836391,LLFS
syn587140448,cohort_metabolomics_000061.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,833256220,LG
syn679418833,cohort_proteomics_000062.mzML,protein abundance,proteomics,mzML,true,3851435768,ILO
syn486173140,cohort_proteomics_000063.counts.csv,protein abundance,proteomics,processed counts (CSV),true,1371848564,LLFS
syn942399187,cohort_methylation_array_000064.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,388566455,CDCP
syn620923977,cohort_rnaseq_000065.fastq.gz,gene expression,RNAseq,FASTQ,true,905733401,ASDOEL
syn805423603,cohort_rnaseq_000066.bam,gene expression,RNAseq,BAM,true,2614378871,ASDOEL
syn126984386,cohort_rnaseq_000067.bam,gene expression,RNAseq,BAM,true,2393161068,LG
syn128536894,cohort_metabolomics_000068.mzML,metabolite levels,metabolomics,mzML,true,355105170,LG
syn437429947,cohort_rnaseq_000069.bam,gene expression,RNAseq,BAM,true,1330765896,LLFS
syn682007480,cohort_scrnaseq_000070.counts.csv,gene expression,scRNAseq,processed counts (CSV),true,276815327,HSDOA
syn522758404,cohort_rnaseq_000071.counts.csv,gene expression,RNAseq,processed counts (CSV),true,4286414351,LLFS
syn207008468,cohort_methylation_array_000072.idat,DNA methylation,methylation array,IDAT,true,946482742,LC
syn125446015,cohort_wgs_000073.vcf.gz,variant calls,WGS,VCF,true,135332658157,ASDOEL
syn348405114,cohort_wgs_000074.vcf.gz,variant calls,WGS,VCF,true,87302965778,LC
syn116154630,cohort_rnaseq_000075.counts.csv,gene expression,RNAseq,processed counts (CSV),true,2338188734,HSDOA
syn957395559,cohort_proteomics_000076.mzML,protein abundance,proteomics,mzML,true,4084247828,ASDOEL
syn646584122,cohort_wgs_000077.cram,variant calls,WGS,CRAM,true,25172751362,LC
syn791121921,cohort_wes_000078.vcf.gz,variant calls,WES,VCF,true,7923925750,LG
syn968673439,cohort_wgs_000079.cram,variant calls,WGS,CRAM,true,47382168180,LG
syn438983754,cohort_scrnaseq_000080.fastq.gz,gene expression,scRNAseq,FASTQ,true,1617477310,ILO
syn615831380,cohort_metabolomics_000081.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,709599405,ILO
syn941789025,cohort_scrnaseq_000082.bam,gene expression,scRNAseq,BAM,true,3864164952,LLFS
syn4045911,cohort_rnaseq_000083.fastq.gz,gene expression,RNAseq,FASTQ,true,3713378329,LC
syn291995935,cohort_rnaseq_000084.counts.csv,gene expression,RNAseq,processed counts (CSV),true,1800269632,LC
syn892062247,cohort_wes_000085.fastq.gz,variant calls,WES,FASTQ,true,19878246681,HSDOA
syn130445395,cohort_rnaseq_000086.counts.csv,gene expression,RNAseq,processed counts (CSV),true,6690015472,LLFS
syn601374573,cohort_rnaseq_000087.counts.csv,gene expression,RNAseq,processed counts (CSV),true,7137829080,LLFS
syn357890421,cohort_wgs_000088.fastq.gz,variant calls,WGS,FASTQ,true,118509777206,ASDOEL
syn966864334,cohort_metabolomics_000089.mzML,metabolite levels,metabolomics,mzML,true,1230651649,ASDOEL
syn540740202,cohort_methylation_array_000090.idat,DNA methylation,methylation array,IDAT,true,924092919,CDCP
syn335040554,cohort_wgs_000091.cram,variant calls,WGS,CRAM,true,6686618293,CDCP
syn948201331,cohort_scrnaseq_000092.fastq.gz,gene expression,scRNAseq,FASTQ,true,882758399,ILO
syn751444884,cohort_scrnaseq_000093.bam,gene expression,scRNAseq,BAM,true,1039566813,LLFS
syn592611128,cohort_wgs_000094.vcf.gz,variant calls,WGS,VCF,true,11223054795,ILO
syn703017233,cohort_methylation_array_000095.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,842035717,LC
syn944076760,cohort_metabolomics_000096.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,1544217078,ASDOEL
syn568558836,cohort_wes_000097.bam,variant calls,WES,BAM,true,684610733,ILO
syn309988951,cohort_wes_000098.vcf.gz,variant calls,WES,VCF,true,6852060280,ILO
syn794497068,cohort_proteomics_000099.mzML,protein abundance,proteomics,mzML,true,3514900032,ILO
syn750251686,cohort_methylation_array_000100.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,970849703,LC
syn463438517,cohort_rnaseq_000101.fastq.gz,gene expression,RNAseq,FASTQ,true,5799333967,ILO
syn880771538,cohort_rnaseq_000102.bam,gene expression,RNAseq,BAM,true,1321269660,LLFS
syn238905989,cohort_wes_000103.bam,variant calls,WES,BAM,true,11871147178,LC
syn990830721,cohort_rnaseq_000104.bam,gene expression,RNAseq,BAM,true,2942674185,ASDOEL
syn943191812,cohort_metabolomics_000105.mzML,metabolite levels,metabolomics,mzML,true,949623787,LG
syn505633252,cohort_wes_000106.vcf.gz,variant calls,WES,VCF,true,11701938797,ILO
syn710406659,cohort_rnaseq_000107.bam,gene expression,RNAseq,BAM,true,5481465047,ASDOEL
syn935913450,cohort_metabolomics_000108.mzML,metabolite levels,metabolomics,mzML,true,1554841108,CDCP
syn730351242,cohort_wes_000109.vcf.gz,variant calls,WES,VCF,true,10815746946,LLFS
syn604212707,cohort_rnaseq_000110.bam,gene expression,RNAseq,BAM,true,2446321244,CDCP
syn515310909,cohort_wgs_000111.fastq.gz,variant calls,WGS,FASTQ,true,48024553606,LC
syn114863647,cohort_scrnaseq_000112.bam,gene expression,scRNAseq,BAM,true,1248781875,CDCP
syn2862984,cohort_rnaseq_000113.fastq.gz,gene expression,RNAseq,FASTQ,true,5127015621,ASDOEL
syn61955585,cohort_rnaseq_000114.fastq.gz,gene expression,RNAseq,FASTQ,true,2181544595,LG
syn48706464,cohort_proteomics_000115.mzML,protein abundance,proteomics,mzML,true,137956613,LG
syn135909240,cohort_proteomics_000116.mzML,protein abundance,proteomics,mzML,true,758292229,ILO
syn205295925,cohort_wgs_000117.cram,variant calls,WGS,CRAM,true,122388636706,LLFS
syn58729475,cohort_wes_000118.fastq.gz,variant calls,WES,FASTQ,true,11418944348,LC
syn854180534,cohort_proteomics_000119.mzML,protein abundance,proteomics,mzML,true,4613231747,ILO
syn440962425,cohort_wes_000120.fastq.gz,variant calls,WES,FASTQ,true,9716980107,LG
syn223726756,cohort_metabolomics_000121.mzML,metabolite levels,metabolomics,mzML,true,1789052816,LG
syn490843042,cohort_methylation_array_000122.counts.csv,DNA methylation,methylation array,processed counts (CSV),true,743181044,ILO
syn717230023,cohort_wes_000123.fastq.gz,variant calls,WES,FASTQ,true,18681014292,ILO
syn915544870,cohort_rnaseq_000124.counts.csv,gene expression,RNAseq,processed counts (CSV),true,7646542877,ILO
syn259541528,cohort_scrnaseq_000125.bam,gene expression,scRNAseq,BAM,true,3550530284,LLFS
syn257583658,cohort_rnaseq_000126.bam,gene expression,RNAseq,BAM,true,6504503481,ASDOEL
syn224406111,cohort_wgs_000127.vcf.gz,variant calls,WGS,VCF,true,59102053286,HSDOA
syn91347279,cohort_wgs_000128.fastq.gz,variant calls,WGS,FASTQ,true,124291674087,ILO
syn726159529,cohort_rnaseq_000129.fastq.gz,gene expression,RNAseq,FASTQ,true,2564800460,HSDOA
syn710554781,cohort_metabolomics_000130.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,945540529,CDCP
syn322318911,cohort_proteomics_000131.mzML,protein abundance,proteomics,mzML,true,727394914,ASDOEL
syn579177808,cohort_wgs_000132.fastq.gz,variant calls,WGS,FASTQ,true,30356208063,LG
syn41656034,cohort_metabolomics_000133.mzML,metabolite levels,metabolomics,mzML,true,1711529902,LC
syn690646249,cohort_wgs_000134.fastq.gz,variant calls,WGS,FASTQ,true,69274258733,LC
syn113197374,cohort_wes_000135.fastq.gz,variant calls,WES,FASTQ,true,17275221957,LC
syn199104558,cohort_rnaseq_000136.fastq.gz,gene expression,RNAseq,FASTQ,true,625586771,LC
syn603695627,cohort_proteomics_000137.mzML,protein abundance,proteomics,mzML,true,1576482705,LG
syn829441372,cohort_metabolomics_000138.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,647224793,LG
syn826516491,cohort_proteomics_000139.mzML,protein abundance,proteomics,mzML,true,1081651088,LG
syn952114439,cohort_methylation_array_000140.idat,DNA methylation,methylation array,IDAT,true,970046744,CDCP
syn436529134,cohort_methylation_array_000141.idat,DNA methylation,methylation array,IDAT,true,390678727,LLFS
syn398516483,cohort_methylation_array_000142.idat,DNA methylation,methylation array,IDAT,true,864501290,LLFS
syn809183580,cohort_metabolomics_000143.mzML,metabolite levels,metabolomics,mzML,true,1845765652,LG
syn84256282,cohort_rnaseq_000144.fastq.gz,gene expression,RNAseq,FASTQ,true,7389728683,ASDOEL
syn171635048,cohort_wgs_000145.cram,variant calls,WGS,CRAM,true,149273071628,HSDOA
syn905709886,cohort_wgs_000146.cram,variant calls,WGS,CRAM,true,11100726408,LC
syn626791374,cohort_metabolomics_000147.mzML,metabolite levels,metabolomics,mzML,true,232922254,CDCP
syn771355062,cohort_wgs_000148.vcf.gz,variant calls,WGS,VCF,true,17097619579,ASDOEL
syn27715776,cohort_wes_000149.fastq.gz,variant calls,WES,FASTQ,true,13946159324,LLFS
syn284790699,cohort_wes_000150.vcf.gz,variant calls,WES,VCF,true,9177882947,LC
syn749101825,cohort_wes_000151.bam,variant calls,WES,BAM,true,9462531895,LC
syn773105952,cohort_scrnaseq_000152.bam,gene expression,scRNAseq,BAM,true,3075487808,LC
syn187452025,cohort_metabolomics_000153.counts.csv,metabolite levels,metabolomics,processed counts (CSV),true,620797007,CDCP
syn284071858,cohort_rnaseq_000154.bam,gene expression,RNAseq,BAM,true,7085391901,CDCP
syn683056888,cohort_wgs_000155.vcf.gz,variant calls,WGS,VCF,true,49447578204,LG
syn334698473,cohort_rnaseq_000156.bam,gene expression,RNAseq,BAM,true,7577867251,LC
syn965576737,cohort_wgs_000157.vcf.gz,variant calls,WGS,VCF,true,119334155537,LG
